排名,电影名称,导演,上映年份,制作国家,类型,评分,评价人数,短评
222,燃情岁月,导演: 爱德华·兹威克 Edward Zwick,1994,美国,剧情 爱情 战争 西部,8.8,238782,传奇，不是每个人都可以拥有。
223,步履不停,导演: 是枝裕和 Hirokazu Koreeda,2008,日本,剧情 家庭,8.8,217124,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
224,海洋,导演: 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,2009,法国 瑞士 西班牙 美国 阿联酋 摩纳哥,纪录片,9.1,139221,大海啊，不全是水。
225,穿越时空的少女,导演: 细田守 Mamoru Hosoda,2006,日本,剧情 爱情 科幻 动画,8.6,323520,爱上未来的你。 
226,谍影重重2,导演: 保罗·格林格拉斯 Paul Greengrass,2004,美国 德国,动作 悬疑 惊悚,8.7,291555,谁说王家卫镜头很晃？
227,彗星来的那一夜,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit,2013,美国 英国,科幻 悬疑 惊悚,8.5,425395,小成本大魅力。
228,东京教父,导演: 今敏 Satoshi Kon,2003,日本,剧情 喜剧 动画,9.0,145917,
229,阿飞正传,导演: 王家卫 Kar Wai Wong,1990,中国香港,犯罪 剧情 爱情,8.5,406822,王家卫是一种风格，张国荣是一个代表。
230,战争之王,导演: 安德鲁·尼科尔 Andrew Niccol,2005,美国 法国,剧情 犯罪,8.7,288953,做一颗让别人需要你的棋子。
231,地球上的星星,导演: 阿米尔·汗 Aamir Khan,2007,印度,剧情 儿童 家庭,8.9,171265,天使保护事件始末。
232,完美陌生人,导演: 保罗·格诺维瑟 Paolo Genovese,2016,意大利,剧情 喜剧,8.5,446644,来啊，互相伤害啊！
233,无间道2,导演: 刘伟强 / 麦兆辉,2003,中国香港,剧情 犯罪 惊悚,8.6,339082,
234,谍影重重,导演: 道格·里曼 Doug Liman,2002,美国 德国 捷克,动作 悬疑 惊悚,8.6,348406,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
235,香水,导演: 汤姆·提克威 Tom Tykwer,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻,8.5,461125,一个单凭体香达到高潮的男人。
236,千钧一发,导演: 安德鲁·尼科尔 Andrew Niccol,1997,美国,剧情 科幻 惊悚,8.8,213330,一部能引人思考的科幻励志片。
237,东京物语,导演: 小津安二郎 Yasujirô Ozu,1953,日本,剧情 家庭,9.2,107540,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
238,黑客帝国2：重装上阵,导演: Andy Wachowski / Larry Wachowski,2003,美国 澳大利亚,动作 科幻,8.6,308125,一个精彩的世界观正在缓缓建立。
239,崖上的波妞,导演: 宫崎骏 Hayao Miyazaki,2008,日本,动画 奇幻 冒险,8.5,377677,
240,驴得水,导演: 周申 Shen Zhou / 刘露 Lu Liu,2016,中国大陆,剧情 喜剧,8.3,756528,过去的如果就让它过去了，未来只会越来越糟！
241,再次出发之纽约遇见你,导演: 约翰·卡尼 John Carney,2013,美国,喜剧 爱情 音乐,8.6,346921,爱我就给我看你的播放列表。
242,朗读者,导演: 史蒂芬·戴德利 Stephen Daldry,2008,美国 德国,剧情 爱情,8.6,394801,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
243,我爱你,导演: 秋昌民 Chang-min Choo,2011,韩国,剧情 爱情,9.1,132218,你要相信，这世上真的有爱存在，不管在什么年纪 
244,猜火车,导演: 丹尼·博伊尔 Danny Boyle,1996,英国,剧情 犯罪,8.5,361298,不可猜的青春迷笛。 
245,聚焦,导演: 托马斯·麦卡锡 Thomas McCarthy,2015,美国,剧情 传记,8.8,232453,新闻人的理性求真。
246,浪潮,导演: 丹尼斯·甘塞尔 Dennis Gansel,2008,德国,剧情 惊悚,8.7,225320,世界离独裁只有五天。
247,小萝莉的猴神大叔,导演: 卡比尔·汗 Kabir Khan,2015,印度,剧情 喜剧 动作,8.4,407780,宝莱坞的萝莉与大叔。
248,追随,导演: 克里斯托弗·诺兰 Christopher Nolan,1998,英国,犯罪 悬疑 惊悚,8.9,150573,诺兰的牛逼来源于内心散发出的恐惧。
249,网络谜踪,导演: 阿尼什·查甘蒂 Aneesh Chaganty,2018,美国 俄罗斯,剧情 犯罪 悬疑 惊悚,8.6,433865,
250,黑鹰坠落,导演: 雷德利·斯科特 Ridley Scott,2001,美国 英国,动作 历史 战争,8.7,241288,还原真实而残酷的战争。
